id,DateTime,DateTimeUTC,driver,device,status,origin,state,malfunction,version,sequence,eventRecordStatus,eventCode,eventType,deferralStatus,deferralMinutes,isIgnored,eventCheckSum,isTransitioning
aYytH-Pnid0WUZJy1t1fDPA,2024-05-21 14:52,2024-05-21 18:52:56.223000+00:00,b1A4,NoDeviceId,OFF,Manual,Active,None,000000000072a91a,000000000001fb78,1,1,1,None,0,FALSE,0000000000000080,FALSE
amMarul7fI0yoRzd4r_zhSw,2024-05-22 9:12,2024-05-22 13:12:30.027000+00:00,b1A4,NoDeviceId,OFF,Manual,Active,None,000000000072eb46,000000000001fc63,1,1,1,None,0,FALSE,0000000000000001,FALSE
aQvO66FjfmEms76ZkFauaGg,2024-05-23 5:03,2024-05-23 09:03:11.913000+00:00,b1A4,NoDeviceId,OFF,Manual,Active,None,00000000007328ce,000000000001fd6d,1,1,1,None,0,FALSE,0000000000000029,FALSE
aGYyHfnHflESCQGleBXAPCg,2024-05-22 2:11,2024-05-22 06:11:17.167000+00:00,b1A5,NoDeviceId,OFF,Manual,Active,None,0000000000731795,000000000001fbf1,1,1,1,None,0,FALSE,00000000000000f8,FALSE
atYEMuspKk0adB5ZNFCz74g,2024-05-22 18:08,2024-05-22 22:08:23.407000+00:00,b1A5,NoDeviceId,OFF,Manual,Active,None,0000000000731797,000000000001fd00,1,1,1,None,0,FALSE,0000000000000088,FALSE
aL48zMXNJREGO7li6SSEVDQ,2024-05-22 18:08,2024-05-22 22:08:27.500000+00:00,b1A5,NoDeviceId,OFF,Manual,Active,None,0000000000731798,000000000001fcfe,1,1,1,None,0,FALSE,00000000000000a8,FALSE
a3LEA9sTUz0mdiaD-vp4ezg,2024-05-23 0:54,2024-05-23 04:54:01.664000+00:00,b1A5,NoDeviceId,OFF,Manual,Active,None,00000000007317af,000000000001fd44,1,1,1,None,0,FALSE,00000000000000d9,FALSE
aucqtHkqmwEa9HX6yAW-F0w,2024-05-21 13:18,2024-05-21 17:18:03.217000+00:00,b1A6,b64,OFF,Manual,Active,None,000000000072a7c6,00000000000051eb,1,1,1,None,0,FALSE,0000000000000096,FALSE
aP17ra-oi5UmSuRDhnmlHVw,2024-05-22 19:23,2024-05-22 23:23:54.950000+00:00,b1A6,b64,OFF,Manual,Active,None,00000000007336d9,000000000000522e,1,1,1,None,0,FALSE,0000000000000096,FALSE
a84xcnG9MHEOT0jhvT1EXMA,2024-05-23 9:54,2024-05-23 13:54:01.033000+00:00,b1A6,b64,OFF,Manual,Active,None,00000000007340bf,0000000000005242,1,1,1,None,0,FALSE,00000000000000f6,FALSE
a0rfaYYPVtEOdO88nhmTGmQ,2024-05-22 4:39,2024-05-22 08:39:34.233000+00:00,b1AA,NoDeviceId,OFF,Manual,Active,None,000000000072d814,000000000001fc11,1,1,1,None,0,FALSE,0000000000000038,FALSE
a3ghHyzB8BkOytfnXq2-4pQ,2024-05-23 2:52,2024-05-23 06:52:02.298000+00:00,b1AA,NoDeviceId,OFF,Manual,Active,None,0000000000732004,000000000001fd53,1,1,1,None,0,FALSE,0000000000000060,FALSE
ajwIS14yjokSWJ6ng67QcLw,2024-05-21 10:51,2024-05-21 14:51:19.150000+00:00,b1AC,NoDeviceId,OFF,Manual,Active,None,000000000072a3e2,000000000001fb3b,1,1,1,None,0,FALSE,0000000000000040,FALSE
am-WEo7zsC0eHH9Xwol5OkA,2024-05-21 19:33,2024-05-21 23:33:40.997000+00:00,b1AC,b2C6,OFF,Manual,Active,None,000000000072b3d0,00000000000052d6,1,1,1,None,0,FALSE,00000000000000dd,FALSE
